n_group,n_partitions,num_div_y,num_div_x,device_group
0,1,105.0,105.0,1
1,1,1113.0,105.0,1
2,1,126.0,105.0,1
3,1,210.0,105.0,1
4,6,42.0,105.0,1
5,1,1218.0,1113.0,1
6,1,756.0,1113.0,1
7,1,1302.0,1218.0,1
8,4,21.0,126.0,1
9,1,231.0,126.0,1
10,2,42.0,126.0,1
11,2,84.0,126.0,1
12,1,21.0,147.0,1
13,5,63.0,147.0,1
14,1,84.0,147.0,1
15,1,5670.0,15561.0,1
16,1,105.0,168.0,1
17,1,126.0,168.0,1
18,5,168.0,168.0,1
19,1,189.0,168.0,1
20,2,21.0,168.0,1
21,1,42.0,168.0,1
22,2,84.0,168.0,1
23,1,105.0,189.0,1
24,1,168.0,189.0,1
25,1,42.0,189.0,1
26,2,105.0,21.0,1
27,2,126.0,21.0,1
28,1,147.0,21.0,1
29,69,21.0,21.0,1
30,1,231.0,21.0,1
31,20,42.0,21.0,1
32,9,63.0,21.0,1
33,1,84.0,21.0,1
34,1,147.0,210.0,1
35,1,10416.0,2247.0,1
36,2,126.0,231.0,1
37,1,168.0,231.0,1
38,1,63.0,231.0,1
39,1,1890.0,2793.0,1
40,1,210.0,294.0,1
41,1,399.0,3276.0,1
42,1,231.0,357.0,1
43,4,105.0,42.0,1
44,2,126.0,42.0,1
45,1,147.0,42.0,1
46,16,21.0,42.0,1
47,6,42.0,42.0,1
48,6,63.0,42.0,1
49,7,84.0,42.0,1
50,6,147.0,63.0,1
51,1,189.0,63.0,1
52,15,21.0,63.0,1
53,4,42.0,63.0,1
54,4,63.0,63.0,1
55,1,483.0,714.0,1
56,1,5670.0,756.0,1
57,1,2457.0,8337.0,1
58,1,2289.0,8358.0,1
59,2,168.0,84.0,1
60,9,21.0,84.0,1
61,3,42.0,84.0,1
62,1,63.0,84.0,1
